Country,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Peru,"19,228.97","27,849.61","35,488.37","38,886.16","39,378.36","37,749.66","35,266.06","32,710.68","36,093.85","38,628.07"
Philippines,"59,896.37","79,846.65","89,770.20","97,623.62","101,412.10","108,903.69","101,147.21","108,594.56","122,467.31","136,355.64"
Poland,"155,460.10","183,104.23","223,891.77","208,058.34","217,913.14","231,482.07","207,037.89","213,457.25","243,736.12","280,426.00"
Portugal,"70,451.04","77,160.76","82,645.29","71,436.81","76,549.69","77,667.37","66,681.02","68,121.07","78,459.10","87,811.32"
Qatar,"21,970.28","20,394.38","22,123.51","25,646.54","27,380.14","33,758.17","31,324.26","29,149.03","28,576.46","33,286.25"
Romania,"50,028.01","58,370.98","72,853.43","68,210.57","71,607.57","77,328.34","69,747.86","73,524.91","83,631.32","96,056.66"
Russian Federation,"164,278.27","223,235.05","302,488.13","317,878.39","321,215.19","292,837.52","182,094.89","178,827.94","214,659.07","227,156.31"
Rwanda,814.25,910.09,"1,112.19","1,309.10","1,265.34","1,363.00","1,335.23","1,444.03","1,268.16","1,627.51"
Samoa,262.32,354.98,379.93,382.03,355.71,341.71,321.98,348.58,381.99,402.89
San Marino,301.47,325.37,356.58,332.58,314.96,308.5,273.17,265.94,290.06,317.93
Saudi Arabia,"84,043.16","98,255.13","121,572.82","145,504.82","159,995.03","165,629.14","158,633.59","127,933.50","122,451.27","120,354.73"
Senegal,"5,200.51","6,054.27","8,249.01","9,035.75","8,822.04","9,167.90","8,567.41","8,539.11","9,737.76","11,979.54"
"Serbia, Republic of","12,461.15","13,177.32","16,724.90","15,982.67","17,175.00","17,937.96","16,278.42","16,760.89","19,981.32","23,437.56"
Seychelles,895.69,"1,131.14","1,404.64","1,044.55","1,057.69","1,021.31","1,089.63",994.31,"1,164.41","1,485.03"
Sierra Leone,739.94,841.93,"1,544.36","1,605.63","1,440.25","1,329.81","1,351.26","1,006.73","1,123.71","1,133.52"
